Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 24_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
115,Dwyane Wade,33,MIA,SG,62,62,1971,0,80,20,0,0,-1.9,1.7,122,60,54,14,149,2,689,32,43,AS
116,D.J. Augustin,27,2TM,PG,82,14,1964,100,0,0,0,0,-2.4,-3.1,82,41,34,9,73,16,827,13,50,
116,D.J. Augustin,27,DET,PG,54,13,1287,100,0,0,0,0,-3.8,-3.5,64,32,22,6,60,12,618,12,38,
116,D.J. Augustin,27,OKC,PG,28,1,677,100,0,0,0,0,0.2,-2.3,18,9,12,3,13,4,209,1,12,
117,Robert Covington,24,PHI,SF,70,49,1956,1,35,59,6,0,-4.4,10.0,47,42,84,16,98,7,244,25,32,
118,Tony Parker,32,SAS,PG,68,68,1953,98,2,0,0,0,5.6,-1.9,73,50,54,8,70,4,788,18,46,
119,Brandon Bass,29,BOS,PF,82,43,1929,0,0,0,92,8,-2.5,-4.8,20,28,74,14,103,6,254,23,56,
120,Roy Hibbert,28,IND,C,76,76,1926,0,0,0,0,100,-1.6,-3.2,28,35,127,26,72,11,190,8,44,
121,Luc Mbah a Moute,28,PHI,PF,67,61,1916,0,0,22,75,3,-9.8,-0.6,41,31,60,10,70,8,257,11,53,
122,Paul Pierce,37,WAS,SF,73,73,1914,0,0,91,9,0,3.7,5.5,48,19,86,11,93,14,309,14,32,
123,Jeremy Lin,26,LAL,PG,74,30,1907,95,6,0,0,0,-6.5,1.1,88,53,91,18,104,27,733,9,52,
124,Zach LaVine,19,MIN,PG,77,40,1902,79,21,0,0,0,-14.6,-9.6,108,57,91,12,84,14,592,18,38,
125,David West,34,IND,PF,66,66,1895,0,0,0,95,5,-1.0,-2.1,61,23,75,24,46,4,510,11,25,
126,Aaron Brooks,30,CHI,PG,82,21,1885,100,0,0,0,0,4.7,2.6,96,41,79,7,70,7,601,12,52,6MOY-11
127,Rodney Stuckey,28,IND,PG,71,36,1874,11,87,2,0,0,-0.6,-1.2,59,27,59,22,96,17,506,30,48,
128,Jordan Hill,27,LAL,C,70,57,1874,0,0,0,8,92,-11.0,-7.3,28,44,106,20,73,6,234,13,30,
129,Channing Frye,31,ORL,PF,75,51,1870,0,0,0,72,28,-8.4,-4.4,38,9,78,23,9,4,210,4,9,
130,Shane Larkin,22,NYK,PG,76,22,1865,100,0,0,0,0,-11.5,-2.4,56,19,67,3,26,17,518,5,30,
131,Bojan BogdanoviÄ,25,BRK,SF,78,28,1854,0,1,86,14,0,-4.8,-3.1,30,27,60,2,43,6,156,8,42,
132,C.J. Miles,27,IND,SG,70,40,1841,0,72,27,0,0,3.9,7.2,44,17,68,9,61,6,170,13,26,
133,Ed Davis,25,LAL,PF,79,24,1840,0,0,17,80,3,-7.2,-0.1,12,26,123,11,102,2,218,25,51,
134,Mike Dunleavy,34,CHI,SF,63,63,1838,0,0,98,2,0,5.7,4.4,30,20,56,6,32,5,256,5,15,
135,Norris Cole,26,2TM,PG,75,25,1831,97,3,0,0,0,-4.2,-4.0,61,23,55,6,30,8,590,3,27,
135,Norris Cole,26,MIA,PG,47,23,1148,96,4,0,0,0,-5.9,-4.4,34,15,33,3,18,3,389,0,19,
135,Norris Cole,26,NOP,PG,28,2,683,100,0,0,0,0,-1.3,-3.3,27,8,22,3,12,5,201,3,8,
136,Dante Exum,19,UTA,PG,82,41,1817,79,21,0,0,0,3.5,6.1,77,24,74,4,10,20,458,3,3,
137,Marcus Smart,20,BOS,PG,67,38,1808,74,26,0,0,0,3.5,6.4,48,26,59,14,47,45,471,10,23,ROY-5
138,Anthony Morrow,29,OKC,SG,74,0,1806,0,26,71,3,0,5.3,6.1,16,11,56,9,30,17,141,10,14,6MOY-11
139,Quincy Pondexter,26,2TM,SG,75,30,1793,0,12,87,1,0,0.8,-1.5,22,13,68,9,49,10,202,11,25,
139,Quincy Pondexter,26,MEM,SG,30,2,540,0,10,89,1,0,0.3,-3.6,3,4,20,2,15,4,61,2,11,
